Series Name,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Literacy rate, adult total (% of people ages 15 and above)",Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.72644043,..,..,..,..,..,..,..,..,..,..,99.76719666,..,..,..,..,..,..,..,..,..,..,99.88578796,..,..,..,..,..,..,..,..,..,99.87000275,..
"Literacy rate, adult total (% of people ages 15 and above)",Eswatini,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.32503891,..,..,..,..,..,..,..,..,..,67.23937988,..,..,..,..,..,..,..,..,..,..,..,..,..,81.66069794,..,..,..,..,..,..,..,..,..,83.09828949,..,..,..,..,..,..,..,..,..,89.27999878,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Ethiopia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.01135063,..,..,..,..,..,..,..,..,..,35.90000153,29.8203392,..,38.99597931,..,..,..,..,..,..,..,..,..,51.7711792,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Faroe Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Fiji,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Finland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",France,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",French Polynesia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Gabon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.2336731,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.28379822,..,..,..,..,..,..,..,..,..,85.69000244
"Literacy rate, adult total (% of people ages 15 and above)","Gambia, The",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.81772995,..,..,..,..,..,..,..,..,..,..,..,..,41.95005035,..,50.77796936,..,..,..,..,..,..,58.66999817
"Literacy rate, adult total (% of people ages 15 and above)",Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.65235138,..,..,..,..,..,..,..,..,..,..,..,99.58618927,..,..,99.36425781,..,..,..,..,99.57498932
"Literacy rate, adult total (% of people ages 15 and above)",Germany,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Ghana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.89746857,..,..,..,..,..,..,..,..,..,71.49707031,..,..,..,..,..,..,..,..,..,80.37999725,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Gibraltar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Greece,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,90.51232147,..,..,..,..,..,..,..,..,..,92.61045074,..,..,..,..,..,..,..,..,..,95.99436188,..,..,..,..,..,..,..,93.90511322,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Greenland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Grenada,..,..,..,..,..,..,..,..,..,..,97.79447174,..,..,..,..,..,..,..,..,..,98.40000153,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Guam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.42064667,..,..,..,..,..,..,..,..,..,99.36914825,..,..,..,..,..,..,..,..,..,99.55999756,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Guatemala,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64.2116394,..,..,..,..,..,..,..,69.10173035,..,..,..,..,..,..,..,..,..,78.26486206,77.0386734,81.2858963,..,..,..,80.81067657,..,..,..,84.26999664
"Literacy rate, adult total (% of people ages 15 and above)",Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.55374908,..,..,..,..,..,..,29.70401955,..,..,..,..,..,..,25.30773926,..,..,..,32.0038414,..,..,..,39.6176796,..,..,45.33000183,..
"Literacy rate, adult total (% of people ages 15 and above)",Guinea-Bissau,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.95825005,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.35776901,..,..,..,..,..,..,..,..,..,..,..,..,..,45.5811615,..,..,..,..,..,..,..,53.90000153
"Literacy rate, adult total (% of people ages 15 and above)",Guyana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.99401093,..,..,..,..,85.63973236,..,..,..,..,..,..,..,90.02999878
"Literacy rate, adult total (% of people ages 15 and above)",Haiti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.73469162,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.7439003,..,..,48.68502045,..,..,..,..,..,..,..,..,..,61.69134903,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Honduras,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.0110321,..,..,..,..,..,83.58898926,..,..,84.75536346,85.12329865,85.35555267,85.4644165,87.19753265,87.90682983,88.98748016,..,87.20523834,88.50743103,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)","Hong Kong SAR, China",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Hungary,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.85829163,..,..,..,..,..,..,..,..,..,99.09999847,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.09999847,..
"Literacy rate, adult total (% of people ages 15 and above)",Iceland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",India,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.76359177,..,..,..,..,..,..,..,..,..,48.22206879,..,..,..,..,..,..,..,..,..,61.0145607,..,..,..,..,62.75447083,..,..,..,..,69.3025589,..,..,..,..,..,..,..,..,..,..,76.32277679
"Literacy rate, adult total (% of people ages 15 and above)",Indonesia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.31266785,..,..,..,..,..,..,..,..,..,81.51985168,..,..,..,..,..,..,..,..,..,..,..,..,..,90.38478851,..,91.98226929,..,92.19229889,92.58170319,..,92.81191254,..,..,95.11621857,95.21793365,95.37696838,..,95.65856171,..,95.99900818,..,..
"Literacy rate, adult total (% of people ages 15 and above)","Iran, Islamic Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.51839828,..,..,..,..,..,..,..,..,..,52.31975937,..,..,..,..,65.53140259,..,..,..,..,73.06024933,..,..,..,..,..,77,..,..,82.44120026,82.33132172,..,82.96230316,..,..,..,83.62599182,84.62680054,84.70523834,..,85.54425049,..,..,..,..,..,88.95999908
"Literacy rate, adult total (% of people ages 15 and above)",Iraq,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.05220032,..,..,..,..,..,..,..,..,..,..,..,77.19999695,..,82.19999695,..,83.30000305,85.59999847,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Ireland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Isle of Man,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Israel,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91.75141144,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Italy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.46054077,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.41661835,..,..,..,..,..,..,..,..,..,98.84828186,..,..,..,..,..,..,..,99.34909821,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Jamaica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.92012024,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Japan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Jordan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66.79680634,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.89231873,..,91.13075256,..,92.19957733,..,..,92.55104065,95.90444946,97.89031982,..,..,..,..,..,..,..,..,98.41999817,..
"Literacy rate, adult total (% of people ages 15 and above)",Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.5293808,..,..,..,..,..,..,..,..,..,99.51265717,..,..,..,..,..,..,..,..,..,99.73240662,99.78163147,..,..,..,..,..,..,..,..,..,99.80000305,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Kenya,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.2290802,..,..,..,..,..,..,72.1570282,..,..,..,..,..,..,78.73303986,..,..,..,..,..,..,..,82.87999725
"Literacy rate, adult total (% of people ages 15 and above)",Kiribati,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Korea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.99819183,..,..,..,..,..,..,..,..,..,99.99819183,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)","Korea, Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.96594238,..,..,..,..,..,..,..,..,..,98.80000305,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Kuwait,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59.56438828,..,..,..,..,67.51766205,..,..,..,..,74.49086761,..,..,..,..,..,..,..,..,..,78.39550018,..,..,..,..,..,..,..,..,..,93.27445984,93.28211975,93.6641922,93.89830017,..,94.4690094,..,95.51316833,95.58582306,..,95.68544769,..,96.03594971,96.05647278,..,96.45754242,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Kyrgyz Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.70160675,..,..,..,..,..,..,..,..,..,99.24343109,..,..,..,..,..,..,..,..,..,99.59999847,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Lao PDR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.25133133,..,..,..,..,69.58312225,68.73439026,..,..,..,72.70226288,..,..,..,..,..,58.28794098,..,..,..,84.66104126,..,..,..,..,..,..,87.51999664
"Literacy rate, adult total (% of people ages 15 and above)",Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.45230103,..,..,..,..,..,..,..,..,..,..,99.74656677,..,..,..,..,..,..,..,..,..,..,99.89589691,..,..,..,..,..,..,..,..,..,99.88999939,..
"Literacy rate, adult total (% of people ages 15 and above)",Lebanon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.61244202,..,91.18418884,..,..,..,..,..,..,..,..,..,95.30000305,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Lesotho,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.25443268,..,..,..,..,..,..,..,..,75.80020142,..,..,..,..,76.6352005,..,..,..,..,..,..,..,82.01000214
"Literacy rate, adult total (% of people ages 15 and above)",Liberia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.10676956,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.94107819,..,..,..,..,..,..,..,..,..,48.30136108,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Libya,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.16439056,..,..,..,..,..,..,..,..,..,76.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Liechtenstein,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.44126892,..,..,..,..,..,..,..,..,..,..,..,99.64575195,..,..,..,..,..,..,..,..,..,99.81559753,..,..,..,..,..,..,..,..,..,99.83000183,..
"Literacy rate, adult total (% of people ages 15 and above)",Luxembourg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)","Macao SAR, China",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,90.37818146,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91.29537201,..,..,..,..,93.49974823,..,..,..,..,95.64003754,..,..,..,..,96.5384903,..,..,..,..,97.11000061,..
"Literacy rate, adult total (% of people ages 15 and above)",Madagascar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.68617249,..,..,..,..,58.93593979,..,..,..,64.48091125,..,..,71.57261658,..,..,..,..,..,76.67967987,..,..,..,77.48000336
"Literacy rate, adult total (% of people ages 15 and above)",Malawi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.53665161,..,..,..,..,..,..,..,..,..,..,64.13424683,..,..,..,..,..,..,..,..,..,..,..,61.30971909,..,..,..,65.14537048,62.14353943,..,..,..,..,..,..,68.08000183
"Literacy rate, adult total (% of people ages 15 and above)",Malaysia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.5163269,..,..,..,..,..,..,..,..,..,..,82.91536713,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Maldives,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.29995728,..,..,..,..,..,..,..,92.23004913,..,..,..,..,96.01825714,..,..,..,..,96.32649994,..,..,..,..,96.32649994,..,..,..,..,..,98.39790344,..,..,..,..,..,..,..,98.61012268,..,97.7349472,..,..,..,..,97.86000061,..
"Literacy rate, adult total (% of people ages 15 and above)",Mali,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.433810234,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.04496956,..,..,..,..,24,..,..,26.17654991,..,..,..,31.09975052,30.61866951,..,..,..,33.06888962,..,..,35.47377014,..,30.76140976,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Malta,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.92984009,..,..,..,..,..,..,..,..,..,87.86869812,..,..,..,..,..,..,..,..,..,92.36309052,..,..,..,..,..,93.30735779,..,..,..,..,..,..,..,..,..,94.94000244,..
"Literacy rate, adult total (% of people ages 15 and above)",Marshall Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.26508331,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Mauritania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.20767975,..,..,..,..,..,..,45.50378036,..,..,..,..,..,62.06874847,..,..,..,..,..,..,..,66.95999908,..
"Literacy rate, adult total (% of people ages 15 and above)",Mauritius,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.86865997,..,..,..,..,..,..,..,..,..,84.30309296,..,..,..,..,..,..,..,..,..,..,89.24983978,91.76600647,91.49002838,92.47476196,92.70760345,93.15783691,..,..,..,..,92.15000153,..
"Literacy rate, adult total (% of people ages 15 and above)",Mexico,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.98924255,..,..,..,..,..,..,..,..,..,87.55615234,..,..,..,..,..,..,..,..,..,90.53562164,..,90.27465057,..,90.95374298,91.63027191,91.73451996,92.79517365,92.92559814,93.44187927,93.06893921,93.51998138,94.22840118,93.96285248,94.55587769,94.47228241,94.85961914,94.97277832,95.37991333,..,95.24784851,..,..
"Literacy rate, adult total (% of people ages 15 and above)","Micronesia, Fed. Sts.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Moldova,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.37754822,..,..,..,..,..,..,..,..,..,..,96.65380096,..,..,..,..,..,..,..,..,..,..,..,..,..,99.3598938,..,..,..,..,..,..,99.59999847,..
"Literacy rate, adult total (% of people ages 15 and above)",Monaco,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Mongolia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.76885223,..,..,..,..,..,..,..,..,..,98.25700378,..,..,..,..,..,..,..,..,..,99.18327332,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.63529968,..,..,..,..,..,..,..,..,..,93.46273804,..,..,..,..,..,..,..,..,..,..,..,97.77346039,..,..,..,..,..,..,..,98.44220734,..,..,..,..,..,..,..,..,..,98.98000336,..
"Literacy rate, adult total (% of people ages 15 and above)",Morocco,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.25779915,..,..,..,..,..,..,..,..,..,..,..,41.59410858,..,..,..,..,..,..,..,..,..,52.30625916,..,..,..,55.1479187,56.08367157,..,67.08415985,69.42539215,..,75.5861969,..,..,..,..,..,..,..,77.34999847
"Literacy rate, adult total (% of people ages 15 and above)",Mozambique,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.99770927,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.70787811,..,..,..,..,..,48.15884018,..,..,..,..,..,50.5838089,..,..,..,..,..,56.03900146,..,60.65542984,..,..,59.77960968,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Myanmar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.57041168,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.9417572,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.55120087,..,..,89.06994629,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Namibia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.81658173,..,..,..,..,..,..,..,..,..,84.94425964,..,..,..,..,..,76.48658752,..,..,..,88.27462769,..,..,..,..,..,..,..,..,..,92.25,..
"Literacy rate, adult total (% of people ages 15 and above)",Nauru,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Nepal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.57366943,..,..,..,..,..,..,..,..,..,32.97558975,..,..,..,..,..,..,..,..,..,48.60897064,..,..,..,..,..,..,..,..,..,59.62725067,..,..,..,..,..,..,..,..,..,71.15000153,..
"Literacy rate, adult total (% of people ages 15 and above)",Netherlands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",New Caledonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91.30036926,..,..,..,..,..,..,..,..,..,..,..,..,93.08062744,..,..,..,..,..,..,96.13791656,..,..,..,..,..,..,..,..,..,97.30000305,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",New Zealand,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
